*IDN? Returned 31 bytes: CMT, C1209, 00000001, 21.4.4/2


           Frequency                 Real                 Imag          Return Loss
       100000.000000             1.000609            -0.001873            -0.005304
     45099500.000000             0.998575            -0.054132            -0.000360
     90099000.000000             0.994386            -0.106763            -0.000879
    135098500.000000             0.987545            -0.159193            -0.002553
    180098000.000000             0.977800            -0.211143            -0.002926
    225097500.000000             0.965454            -0.262338            -0.004005
    270097000.000000             0.950634            -0.312780            -0.006671
    315096500.000000             0.933101            -0.362133            -0.007888
    360096000.000000             0.913165            -0.410436            -0.010095
    405095500.000000             0.890573            -0.457653            -0.011130
    450095000.000000             0.865533            -0.503713            -0.012463
    495094500.000000             0.837864            -0.548969            -0.014670
    540094000.000000             0.807386            -0.593070            -0.015625
    585093500.000000             0.774344            -0.636031            -0.017963
    630093000.000000             0.738985            -0.677370            -0.021353
    675092500.000000             0.701393            -0.716692            -0.024252
    720092000.000000             0.661675            -0.753964            -0.027167
    765091500.000000             0.619619            -0.789270            -0.029757
    810091000.000000             0.575046            -0.822430            -0.030594
    855090500.000000             0.528367            -0.853405            -0.032326
    900090000.000000             0.479747            -0.881920            -0.034343
    945089500.000000             0.429298            -0.907756            -0.035971
    990089000.000000             0.377588            -0.930862            -0.039241
   1035088500.000000             0.324344            -0.950998            -0.041479
   1080088000.000000             0.269760            -0.968242            -0.044344
   1125087500.000000             0.214079            -0.982411            -0.047348
   1170087000.000000             0.157650            -0.993284            -0.049514
   1215086500.000000             0.100717            -1.000878            -0.051382
   1260086000.000000             0.043662            -1.005241            -0.053592
   1305085500.000000            -0.013969            -1.006302            -0.055407
   1350085000.000000            -0.071980            -1.004019            -0.057104
   1395084500.000000            -0.130615            -0.997972            -0.056130
   1440084000.000000            -0.189642            -0.988488            -0.056410
   1485083500.000000            -0.248731            -0.975411            -0.057351
   1530083000.000000            -0.306812            -0.958962            -0.059277
   1575082500.000000            -0.363896            -0.938891            -0.060108
   1620082000.000000            -0.419868            -0.915341            -0.060973
   1665081500.000000            -0.474940            -0.887969            -0.060624
   1710081000.000000            -0.528949            -0.856558            -0.058143
   1755080500.000000            -0.581722            -0.821415            -0.056621
   1800080000.000000            -0.632864            -0.782558            -0.055724
   1845079500.000000            -0.681706            -0.740154            -0.054173
   1890079000.000000            -0.727900            -0.694136            -0.050364
   1935078500.000000            -0.771308            -0.644812            -0.046216
   1980078000.000000            -0.811832            -0.591984            -0.041132
   2025077500.000000            -0.849492            -0.536014            -0.038691
   2070077000.000000            -0.883563            -0.476955            -0.035335
   2115076500.000000            -0.913881            -0.414981            -0.031969
   2160076000.000000            -0.939745            -0.350302            -0.025255
   2205075500.000000            -0.961238            -0.283080            -0.017824
   2250075000.000000            -0.978219            -0.213759            -0.011301
   2295074500.000000            -0.990486            -0.142061            -0.005398
   2340074000.000000            -0.997399            -0.068207             0.002359
   2385073500.000000            -0.998896             0.007469             0.009353
   2430073000.000000            -0.994273             0.084279             0.018791
   2475072500.000000            -0.983393             0.161663             0.029644
   2520072000.000000            -0.966126             0.239339             0.040654
   2565071500.000000            -0.942196             0.317599             0.049781
   2610071000.000000            -0.910911             0.395499             0.060443
   2655070500.000000            -0.871646             0.473060             0.072024
   2700070000.000000            -0.823720             0.549794             0.084246
   2745069500.000000            -0.766706             0.624533             0.097148
   2790069000.000000            -0.699759             0.696380             0.111700
   2835068500.000000            -0.621940             0.764686             0.125328
   2880068000.000000            -0.531201             0.828233             0.140601
   2925067500.000000            -0.424714             0.885363             0.158104
   2970067000.000000            -0.297919             0.933133             0.179584
   3015066500.000000            -0.141318             0.965083             0.216567
   3060066000.000000             0.067586             0.960819             0.325734
   3105065500.000000             0.366646             0.806770             1.049604
   3150065000.000000             0.229698             0.307565             8.316272
   3195064500.000000             0.080916             0.528200             5.443293
   3240064000.000000             0.231018             0.492104             5.293907
   3285063500.000000             0.242311             0.323103             7.875182
   3330063000.000000             0.110316             0.249417            11.285522
   3375062500.000000             0.027530             0.323322             9.775932
   3420062000.000000             0.059421             0.405086             7.756595
   3465061500.000000             0.138863             0.426403             6.965828
   3510061000.000000             0.213300             0.398322             6.900346
   3555060500.000000             0.268791             0.344584             7.189966
   3600060000.000000             0.305044             0.277092             7.699812
   3645059500.000000             0.320414             0.198904             8.470157
   3690059000.000000             0.305211             0.118538             9.697839
   3735058500.000000             0.261626             0.055300            11.456548
   3780058000.000000             0.201786             0.021793            13.851825
   3825057500.000000             0.146665             0.024102            16.557765
   3870057000.000000             0.119269             0.047313            17.834718
   3915056500.000000             0.123453             0.065475            17.093519
   3960056000.000000             0.143502             0.060022            16.162645
   4005055500.000000             0.154987             0.028881            16.045842
